id,source,period,cp.val,auc,prauc,acc,F1,kap,dp,mcc,Brier,mr,Se,Sp,ifd,GM,bac,PM,dpow,DLR.pos,DLR.neg,DOR,PT,ppv,npv,mkd,FM,IMN,NMI,MCEN,imcen,type
LR:10,LR 2nd generation,post,0.2945393722556643,0.7448132675405402,0.5539499038344681,0.7177177177177178,0.5661538461538462,0.36479612543629436,0.37737737737737737,0.3752374517783347,0.16519194571265097,0.2822822822822823,0.673992673992674,0.7341597796143251,0.40815245360699914,0.7034332327947914,0.7040762268034996,0.7171409705110242,0.9604869521350445,2.535329955019075,0.4440550069067892,5.7094952552832305,0.38576199574173353,0.4880636604774536,0.8569131832797428,0.3449768437571963,0.5735427896886609,0.11835394001619097,0.11835394001619104,0.6974422616324545,1.4338104456982141,I
LR:11,LR 2nd generation,pre,0.32356795158977403,0.7404287631560359,0.49868364228989837,0.7227227227227228,0.5421487603305785,0.34599868123453464,0.33233233233233234,0.3494053000226385,0.17126556692245723,0.2772772772772773,0.6007326007326007,0.768595041322314,0.36932764205491475,0.6794998882146592,0.6846638210274574,0.7219150174621652,0.8870405185373889,2.596023024594453,0.5194769388317776,4.997378768020969,0.3829630654302818,0.4939759036144578,0.8365817091454273,0.33055761275988504,0.5447452884399733,0.10033847752019022,0.10033847752018943,0.7101534432886449,1.4081463794206313,I
LR:12,LR 2nd generation,pre,0.24710057429207521,0.7260340669431579,0.5057990907356389,0.6506506506506506,0.5277401894451962,0.27938614168346004,0.46646646646646645,0.30461898942159993,0.1724001706851913,0.34934934934934936,0.7142857142857143,0.6267217630853994,0.3410074773711136,0.6690727929036248,0.6705037386855568,0.6567758277546588,0.790864391195238,1.9135477069056404,0.4558869701726845,4.197416974169741,0.41958445417059265,0.4184549356223176,0.8536585365853658,0.27211347220768345,0.5467141690018374,0.0806044432972596,0.08060444329725791,0.7045391782794415,1.419367482787976,I
LR:13,LR 2nd generation,pre,0.3294553851417145,0.7167050121595576,0.4886484857707254,0.7067067067067067,0.515702479338843,0.3082224317751574,0.33233233233233234,0.31125711480705204,0.17483628779579208,0.2932932932932933,0.5714285714285714,0.7575757575757576,0.32900432900432897,0.657951694959769,0.6645021645021645,0.7021276595744681,0.7868104839934549,2.3571428571428568,0.5657142857142857,4.166666666666666,0.39443080316866713,0.46987951807228917,0.8245877061469266,0.2944672242192157,0.5181723475404624,0.07961630598697739,0.07961630598697644,0.7269867108646455,1.3755409625172441,I
LR:14,LR 2nd generation,pre,0.23447375075310872,0.6956351729079002,0.4758606182029672,0.6056056056056056,0.4987277353689568,0.22076117169125517,0.5135135135135135,0.25081723107414544,0.17824438863001998,0.3943943943943944,0.717948717948718,0.5633608815426997,0.28130959949141765,0.6359750173128194,0.6406547997457088,0.6218225199596218,0.6555976603533542,1.6442611016743507,0.5006582659394395,3.28419845139088,0.4381569028346428,0.3820662768031189,0.8415637860082305,0.22363006281134945,0.5237403875988935,0.05514049278276419,0.055140492782764894,0.7052998480687753,1.4178366871028842,I
LR:15,LR 2nd generation,pre,0.31945406766612516,0.7184305593396503,0.4846817894776462,0.7027027027027027,0.5170731707317073,0.30620619988635644,0.34234234234234234,0.31026310570057664,0.17508890411775013,0.2972972972972973,0.5824175824175825,0.7479338842975206,0.33035146671510307,0.6600074580644932,0.6651757333575515,0.6979376394406049,0.783068375105485,2.3105746712304085,0.5583146135632323,4.138481449525452,0.39681634932513693,0.4649122807017544,0.8264840182648402,0.2913962989665946,0.5203586134220901,0.0794263291482339,0.07942632914823411,0.7285089185866704,1.3726667916983508,I
LR:16,LR 3rd generation,post,0.3147089143383979,0.7357919857919858,0.5292051599548673,0.7207207207207207,0.5536,0.35508569286621633,0.35235235235235235,0.361158426533096,0.16888375915002019,0.27927927927927926,0.6336996336996337,0.7534435261707989,0.38714315987043246,0.6909825515509025,0.6935715799352162,0.7199037056143066,0.9180642787323674,2.5702007489716987,0.4861683106655685,5.286648044692737,0.38414487144049725,0.4914772727272727,0.8454404945904173,0.33691776731768996,0.5580761307375255,0.1082208678584215,0.10822086785841911,0.7059597547767487,1.4165113425144724,I
LR:17,LR 3rd generation,pre,0.22914051646024414,0.7453884499339045,0.5455958886385835,0.6356356356356356,0.5345268542199488,0.27750226503266406,0.5095095095095095,0.3140945157912343,0.16654444704230578,0.36436436436436437,0.7655677655677655,0.5867768595041323,0.3523446250718978,0.6702368605332366,0.6761723125359489,0.6494517065153188,0.84579809127125,1.8526739926739928,0.3995253572718362,4.6371875,0.42352608181967205,0.4106090373280943,0.8693877551020408,0.279996792430135,0.5606683897182009,0.08767439974527777,0.0876743997452758,0.6745476038354359,1.4824750607874997,I
LR:18,LR 3rd generation,pre,0.327104125651252,0.6986574032028577,0.49534227111067947,0.7087087087087087,0.49740932642487046,0.2932720708893995,0.3063063063063063,0.2942184942498937,0.1766314384230407,0.2912912912912913,0.5274725274725275,0.7768595041322314,0.30433203160475886,0.6401343969321461,0.6521660158023794,0.7027223230490018,0.7484062671138489,2.3638583638583635,0.6082534486789806,3.886304909560723,0.3940910885142062,0.47058823529411764,0.8138528138528138,0.2844410491469316,0.49821919460155756,0.07045594386743402,0.0704559438674317,0.7286166408238461,1.37246384994625,I
LR:19,LR 3rd generation,pre-post,0.2697654944115936,0.770746929837839,0.5528977214714813,0.7047047047047047,0.5705967976710334,0.359711386167654,0.4144144144144144,0.37784021283616087,0.16194078871532488,0.2952952952952953,0.717948717948718,0.699724517906336,0.4176732358550539,0.708778047450779,0.708836617927527,0.705098855359001,0.9815284188931577,2.3909668313338037,0.4030890369473047,5.93160967472894,0.39273053465490587,0.47342995169082125,0.8683760683760684,0.34180602006688954,0.5830080847252023,0.122354236670142,0.122354236670139,0.6875412805107457,1.4544581225103193,I
LR:20,LR 3rd generation,pre,0.2516670673774224,0.7427849927849928,0.4927848864081567,0.6736736736736737,0.5534246575342465,0.32115610695615204,0.4574574574574575,0.3476898277334115,0.1712451558520943,0.3263263263263263,0.73992673992674,0.6487603305785123,0.3886870705052523,0.6928456656418893,0.6943435352526262,0.6781062297992759,0.9147551829242064,2.106614953673777,0.4008772543804391,5.255012427506213,0.40792712446242607,0.4420131291028446,0.8690036900369004,0.3110168191397449,0.5718892669231388,0.10542250689836197,0.10542250689836175,0.6862583491447887,1.4571771713177617,I
